,Processor,Graphics Card,Screen Size(inch),RAM(GB),SSD(GB),link,OS,HDD(GB),brand,Normal,price EG,store
762,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,8.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,128,HP,1,11173.0,ubuy
763,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,16.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,128,HP,1,11173.0,ubuy
764,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,4.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,256,HP,1,11173.0,ubuy
765,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,8.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,256,HP,1,11173.0,ubuy
766,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,16.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,256,HP,1,11173.0,ubuy
767,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,4.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,512,HP,1,11173.0,ubuy
768,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,8.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,512,HP,1,11173.0,ubuy
769,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,16.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,512,HP,1,11173.0,ubuy
770,"AMD Ryzen 7 5800H 8-core processor at 3.20 Ghz (Precision Boost up to 4.40 GHz), up to 16 MB L3 cache",ryzen 7 5800h 16gb/512g,15.6,16.0,0,https://www.ubuy.com.eg/en/product/4KGTEZKTS-acer-nitro-5-nh-qbcaa-001-r7-5800h-rtx3060-16gb-512gb-w10h32-15-6-an515-45-r92m,2,512,Acer,1,36199.0,ubuy
771,i5-1130G7,iris xe graphics,12.3,8.0,256,https://www.ubuy.com.eg/en/product/1AEMYG594-lenovo-thinkpad-x12-detachable-laptop-12-3-fhd-ips-touch-400-nits-i5-1130g7-iris-xe-graphics-8gb-256gb-ssd-win-10-pro,2,256,Lenovo,1,27436.0,ubuy
772,i5-1135G7,intel i5-1135g7 4-core,15.6,16.0,512,https://www.ubuy.com.eg/en/product/3UUALVRNS-dell-inspiron-home-business-laptop-intel-i5-1135g7-4-core-16gb-ram-512gb-pcie-ssd-15-6-full-hd-1920x1080-intel-iris-xe-wifi-bluetooth,2,512,Dell,1,20894.0,ubuy
773,"Intel Core i7-11800H (8 cores 16 threads, base clock speed 2.3GHz, max turbo to 4.6GHz, 24MB L3 Cache)",ryzen 7 5800h),17.3,64.0,1000,https://www.ubuy.com.eg/en/product/4QCMGA6LS-2022-msi-ge76-raider-17-3-144hz-64gb-ram-1tb-pcie-ssd-intel-8-core-i7-11800h-beat-ryzen-7-5800h-rtx-3060-fhd-gaming-laptop-thunderbolt-4,2,1000,2022,0,52586.0,ubuy
774, AMD Ryzen 3-3250C,ryzen 3-3250c,14,4.0,128,https://www.ubuy.com.eg/en/product/14N5R69LQ-hp-14-r3-4gb-128gb-chromebook-silver,1,128,HP,1,8223.0,ubuy
775,Athlon Gold 3150U,amd radeon,17.3,32.0,128,https://www.ubuy.com.eg/en/product/1C3UL22QC-hp-17z-cp000-home-business-laptop-amd-athlon-gold-3150u-2-core-8gb-ram-128gb-ssd-1tb-hdd-17-3-hd-1600x900-amd-radeon-wifi-bluetooth,2,2000,HP,1,14506.0,ubuy
776, Intel Core i7-10750H,geforce gtx 1650 ti 4gb,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/4F3IH2GHW-dell-xps-business-laptop-15-6-inch-fhd-intel-core-i7-10750h-processor-32gb-ram-1tb-pcie-ssd-geforce-gtx-1650-ti-4gb-gddr6-fingerpring-reader,1,0,Dell,1,41091.0,ubuy
777, Intel Core i7-10750H,geforce gtx 1650 ti 4gb,15.6,16.0,2000,https://www.ubuy.com.eg/en/product/4F3IH2GHW-dell-xps-business-laptop-15-6-inch-fhd-intel-core-i7-10750h-processor-32gb-ram-1tb-pcie-ssd-geforce-gtx-1650-ti-4gb-gddr6-fingerpring-reader,1,0,Dell,1,44475.0,ubuy
