,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
165,Intel Core i3-1115G4 - Dual core,15.6,4.0,Intel UHD Graphics,Dell,0,1000,https://btech.com/en/dell-vostro153510-laptop-ici31115g4.html,1,1,9051.0,btech
166,Intel Core i7-1165G7,13.9,16.0,Intel Iris Xe Graphics (integrated),Huawei,1000,0,https://btech.com/en/huawei-matebook-x-pro-2021-1tb-16gb-grey.html,2,1,41699.0,btech
167,Intel Core i3-10110U - Dual Core,15.6,4.0,Intel UHD Graphics,Asus,256,0,https://btech.com/en/asus-x509fa-br949t-mp32-1648742295.html,2,1,7999.0,btech
168,AMD R7-4800H,15.6,16.0,Nvidia GTX1650TI 4G,Lenovo,256,0,https://btech.com/en/lenovo-ideapad-3-gaming-laptop-15-6-inch-1tb.html,1,0,24099.0,btech
169,Intel Core i3-10110U - Dual core,15.6,4.0,Intel UHD Graphics,Asus,256,0,https://btech.com/en/asus-15x509fa-br949t-laptop-1648745937.html,2,1,8092.0,btech
170,AMD 3020e,15.6,4.0,Integrated AMD Radeon Graphics,Lenovo,0,1000,https://btech.com/en/lenovo-ideapad-3-amd-3020e-1tb-4gb-bl.html,1,1,6299.0,btech
171,Intel Core i3-1005G1,15.6,4.0,Intel UHD Graphics,لاب,0,1000,https://btech.com/en/hp-250-g8-notebook-inteli3-15-6-1tb-4gb-intel-uhd-1648754628.html,1,1,8386.0,btech
172,AMD,15.6,8.0,AMD Radeon,HP,256,0,https://btech.com/en/hp-15-ef2127wm-laptop-windows-10-blue.html,2,1,11299.0,btech
173,Intel Core i7-11800H - Octa Core,15.6,16.0,Nvidia GeForce RTX 3070 8GB,MSI,16,0,https://btech.com/en/msi-gp66-leopard-11ug003-laptop.html,2,1,39999.0,btech
174,Microsoft SQ 2,13.0,16.0,Intel Iris Plus Graphics,Microsoft,512,0,https://btech.com/en/microsoft-surface-prox-laptop-sq2-13-inch.html,2,1,48199.0,btech
175,Intel Core i5-1135G7,15.6,8.0,NVIDIA GeForce MX350 2GB,HP,256,0,https://btech.com/en/hp-15-dw3014ne-i5-15-6-256-8-nvidia-dos.html,1,1,13999.0,btech
176,Intel Core i9-11900H - Octa Core,16.0,16.0,Nvidia GeForce RTX 3070 8GB,Asus,16,0,https://btech.com/en/asus-rog-gu603hr-k8008t-laptop.html,2,1,50999.0,btech
