,Graphics Card,Processor,Screen Size(inch),brand,HDD(GB),SSD(GB),link,RAM(GB),OS,Normal,price EG,store
2967,intel iris xe graphics ,Intel Core i5,14.0,Dell,0.0,256.0,https://www.newegg.com/black-dell-3000-latitude-3420-work-business/p/2WC-0009-010T2,8.0,2,1,12501.573980676967,New Egg
2968,intel iris xe graphics , Intel Core i7 11th,2.8,Lenovo,0.0,256.0,https://www.newegg.com/arctic-grey-lenovo-ideapad-3-15itl6-82h801epus-home-personal/p/N82E16834645910,8.0,2,1,15171.316137701608,New Egg
2970,ryzen 5 5000 series 550, AMD Ryzen 5 5000,2.1,Lenovo,0.0,256.0,https://www.newegg.com/black-lenovo-thinkpad-e15-gen-3-20yg003eus-education-home-personal-work-business/p/1TS-000E-0SKZ0,8.0,2,1,13808.82703687524,New Egg
2971,intel iris xe graphics , Intel Core i5 11th,2.4,Lenovo,0.0,256.0,https://www.newegg.com/black-lenovo-ripjaws-x-series-20tds00b00/p/1B4-001H-03A49,8.0,2,1,13808.82703687524,New Egg
2972,ryzen 5 4500u hexa, AMD Ryzen 5 4500U,14.0,Visit,0.0,256.0,https://www.newegg.com/p/1TS-000E-0SKJ7,8.0,1,1,12685.878249586049,New Egg
2973,intel iris xe graphics , Intel Core i5 11th,2.4,Lenovo,0.0,256.0,https://www.newegg.com/black-lenovo-thinkpad-e14-gen-2-20ta004qus-work-business/p/1B4-001H-02H77,8.0,2,1,13992.94718563556,New Egg
2974,intel iris xe graphics, Intel Core i7-1165G7,13.5,Visit,0.0,512.0,https://www.newegg.com/acer-sf313-53-78ug/p/1TS-000X-02PM8,8.0,2,1,12869.998398346368,New Egg
2975,ryzen 7 5000 series 580, AMD Ryzen 7 5000,1.9,HP,0.0,512.0,https://www.newegg.com/pike-silver-aluminum-hp-probook-455-g8-4j226ut-aba-work-business/p/2WC-0001-02S13,16.0,2,1,16570.62926828004,New Egg
2976,intel iris xe graphics1,Intel Core i5,15.6,HP,0.0,256.0,https://www.newegg.com/silver-hp-probook-450-g8-work-business/p/1TS-000D-0DAC4,8.0,2,1,13992.94718563556,New Egg
2977,ryzen 5 5000 series 550, AMD Ryzen 5 5000,2.1,Visit,0.0,256.0,https://www.newegg.com/dark-ash-silver-hp-255-g8-work-business/p/1TS-000D-0K1Y7,16.0,2,1,11913.125985238985,New Egg
2978,intel iris xe graphics , Intel Core i5 11th,2.4,HP,0.0,256.0,https://www.newegg.com/dark-ash-silver-hp-250-g8-4l1q8ut-aba-work-business/p/N82E16834273075,16.0,2,1,12059.6856236522,New Egg
2979,geforce rtx 3080 laptop, Intel Core i7 11th,2.3,Visit,0.0,1000.0,https://www.newegg.com/core-black-msi-creator-17-b11uh-238-creating-designing/p/N82E16834155975,32.0,2,1,44188.651582328035,New Egg
2980,ryzen 5 5000 series 550, AMD Ryzen 5 5000,2.1,HP,0.0,512.0,https://www.newegg.com/top-cover-keyboard-deck-natural-silver-aluminum-with-a-sandblasted-finish-hp-pavilion-15-eh1010nr/p/N82E16834273079,8.0,2,1,11231.14495423076,New Egg
